운용사,유동성공급자(LP),종목명,기초지수명,순자산규모(억원),최초설정일,상장일
삼성자산운용,"한국증권, 미래에셋대우, NH투자증권, KB증권, SK증권, 삼성증권, 하이증권, 키움증권",KODEX 중국본토 A50,FTSE China A50 Index,"861","2013/01/09","2013/01/21"
교보악사자산운용,미래에셋대우,파워 중기국고채,KTB INDEX(시장가격),"61","2013/05/10","2013/05/22"
삼성자산운용,"미래에셋대우, 메리츠, KB증권, 키움증권",KODEX 국채선물10년인버스,10년국채선물지수,"219","2013/05/30","2013/05/31"
케이비자산운용,"삼성증권, 한국증권, 미래에셋대우, KB증권",KBSTAR 중국본토대형주CSI100,CSI 100,"405","2013/05/29","2013/06/04"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 유안타증권",TIGER 로우볼,FnGuide Low Vol 지수,"376","2013/06/19","2013/06/20"
한국투자신탁운용,"미래에셋대우, NH투자증권, 한국증권, 대신증권",KINDEX 미국다우존스리츠(합성 H),Dow Jones US Real Estate Index,"81","2013/07/30","2013/08/01"
미래에셋자산운용,"메리츠, 미래에셋대우, 대신증권, NH투자증권, 한국증권",TIGER 미국MSCI리츠(합성 H),MSCI US REIT Index,"400","2013/10/08","2013/10/10"
케이비자산운용,"미래에셋대우, NH투자증권, KB증권, 삼성증권",KBSTAR 주식혼합,주식국채혼합(주식형)지수,"130","2013/10/16","2013/10/17"
케이비자산운용,"미래에셋대우, NH투자증권, KB증권, 삼성증권",KBSTAR 채권혼합,주식국채혼합(채권형)지수,"166","2013/10/16","2013/10/17"
삼성자산운용,"미래에셋대우, NH투자증권",KODEX 미국S&P바이오(합성),S&P Biotechnology Select Industry Index,"62","2013/10/30","2013/10/31"
한화자산운용,"미래에셋대우, NH투자증권, KB증권, 한화투자, 하이증권, 한국증권",ARIRANG 글로벌MSCI(합성 H),MSCI ACWI Index,"69","2013/12/06","2013/12/10"
한화자산운용,"신한투자, 미래에셋대우, KB증권, 한화투자, IBK증권",ARIRANG 단기유동성,KAP Money Market Index(총수익),"347","2013/12/17","2013/12/19"
한국투자신탁운용,"대신증권, 미래에셋대우, 키움증권",KINDEX 단기통안채,KIS MSB 단기지수(총수익),"1,962","2013/12/19","2013/12/23"
미래에셋자산운용,"신한투자, 메리츠, 대신증권, 키움증권, 한국증권, 미래에셋대우, NH투자증권, KB증권, 하나금융투자",TIGER 차이나CSI300,CSI 300 Index,"2,377","2014/01/27","2014/02/17"
교보악사자산운용,"미래에셋대우, NH투자증권, KB증권, 하이증권",파워 고배당저변동성,코스피 200 고배당지수,"159","2014/02/19","2014/02/20"
미래에셋자산운용,"신한투자, 대신증권, 미래에셋대우, 메리츠, 한국증권",TIGER 단기선진하이일드(합성 H),Markit iBoxx USD Liquid High Yield 0-5 year 지수,"270","2014/03/21","2014/03/24"
미래에셋자산운용,"메리츠, 대신증권, 미래에셋대우, 한국증권",TIGER 유로스탁스50(합성 H),EURO STOXX 50 Index,"378","2014/04/29","2014/04/30"
미래에셋자산운용,"대신증권, 미래에셋대우, 메리츠, NH투자증권, 한국증권",TIGER 일본TOPIX(합성 H),TOPIX,"287","2014/04/29","2014/04/30"
한화자산운용,"미래에셋대우, 키움증권, NH투자증권, KB증권",ARIRANG 선진국MSCI(합성 H),MSCI EAFE Index,"56","2014/05/12","2014/05/13"
한화자산운용,"NH투자증권, 미래에셋대우, 키움증권, 신한투자, KB증권",ARIRANG 신흥국MSCI(합성 H),MSCI EM Index,"303","2014/05/12","2014/05/13"
케이비자산운용,"한국증권, 미래에셋대우, KB증권, 삼성증권, 키움증권",KBSTAR 단기통안채,KIS 통안채 5개월 지수(총수익),"2,463","2014/05/14","2014/05/19"
삼성자산운용,"미래에셋대우, NH투자증권",KODEX 미국S&P IT(합성),S&P Select Sector Technology Index,"127","2014/06/11","2014/06/12"
삼성자산운용,"미래에셋대우, NH투자증권",KODEX 미국S&P금융(합성),S&P Select Sector Financials Index,"64","2014/06/11","2014/06/12"
삼성자산운용,"신한투자, 미래에셋대우, NH투자증권",KODEX 미국S&P산업재(합성),S&P Select Sector Industrial Index,"87","2014/06/11","2014/06/12"
한국투자신탁운용,"한국증권, 대신증권, 미래에셋대우, 하이증권",KINDEX 일본TOPIX레버리지(H),TOPIX,"72","2014/06/13","2014/06/16"
케이비자산운용,"대신증권, 삼성증권, 미래에셋대우, KB증권",KBSTAR 일본TOPIX레버리지(H),TOPIX,"69","2014/06/13","2014/06/16"
키움투자자산운용,"신한투자, NH투자증권, 키움증권",KOSEF 인도Nifty50(합성),Nifty 50 Index,"162","2014/06/25","2014/06/26"
미래에셋자산운용,"미래에셋대우, 신한투자, 리딩투자",TIGER 미국나스닥바이오,NASDAQ Biotechnology 지수(시장가격지수),"132","2014/08/26","2014/08/27"
미래에셋자산운용,"메리츠, NH투자증권, 한화투자, 키움증권, 대신증권, 미래에셋대우, 한국증권",TIGER 차이나CSI300레버리지(합성),CSI 300 Index,"2,647","2014/08/28","2014/09/01"
삼성자산운용,"삼성증권, KB증권, 신한투자, 대신증권, 유진증권, NH투자증권, 하이증권, 키움증권",KODEX China H 레버리지(H),Hang Seng China H,"387","2014/09/11","2014/09/12"
한국투자신탁운용,"미래에셋대우, 대신증권",KINDEX 일본TOPIX인버스(합성 H),TOPIX,"68","2014/09/22","2014/09/29"
신한비엔피파리바자산,"신한투자, 미래에셋대우",SMART 선진국MSCI World(합성 H),MSCI World,"148","2014/11/21","2014/11/24"
미래에셋자산운용,"메리츠, 미래에셋대우, NH투자증권, DB금투, KB증권",TIGER 코스피고배당,코스피 고배당 50,"372","2014/12/04","2014/12/05"
디비자산운용,"유진증권, 하이증권",마이티 코스피고배당,코스피 고배당 50,"91","2014/12/11","2014/12/12"
미래에셋자산운용,"메리츠, 미래에셋대우, NH투자증권, KB증권",TIGER 배당성장,코스피 배당성장 50,"186","2014/12/16","2014/12/17"
한국투자신탁운용,"교보증권, 대신증권",KINDEX 배당성장,코스피 배당성장 50,"59","2014/12/16","2014/12/17"
삼성자산운용,"유진증권, 하이증권, 신한투자, 미래에셋대우, KB증권, NH투자증권",KODEX 배당성장,코스피 배당성장 50,"261","2014/12/16","2014/12/17"
삼성자산운용,"미래에셋대우, 메리츠, 유진증권, KB증권, DB금투, NH투자증권",KODEX 삼성그룹밸류,WISE 삼성그룹 밸류 인덱스,"277","2015/01/07","2015/01/08"
한화자산운용,"NH투자증권, 미래에셋대우, 한화투자",ARIRANG 미국다우존스고배당주(합성 H),Dow Jones U.S Select Dividend Index(시장가격지수),"70","2015/01/23","2015/01/26"
삼성자산운용,"미래에셋대우, 메리츠, KB증권, 삼성증권, 유안타증권, 키움증권",KODEX 단기채권PLUS,KRW Cash PLUS 지수(총수익),"9,536","2015/03/02","2015/03/03"
흥국자산운용,KB증권,흥국 S&P코리아로우볼,S&P Korea 저변동성 지수,"125","2015/03/24","2015/03/25"
삼성자산운용,"미래에셋대우, NH투자증권, 신한투자",KODEX 미국S&P에너지(합성),S&P Select Sector Energy Index,"64","2015/04/27","2015/04/28"
미래에셋자산운용,"미래에셋대우, 키움증권, KB증권, 한국증권",TIGER 원유선물인버스(H),S&P GSCI Crude Oil Index ER,"51","2015/04/28","2015/04/29"
미래에셋자산운용,"미래에셋대우, NH투자증권, KB증권, 메리츠",TIGER 가격조정,FnGuide Contrarian Index,"261","2015/04/28","2015/04/29"
삼성자산운용,"DB금투, 삼성증권, 키움증권, 한국증권, SK증권, 신한투자",KODEX 미국S&P500선물(H),S&P 500 Futures Total Return Index,"438","2015/05/28","2015/05/29"
한국투자신탁운용,NH투자증권,KINDEX 중국본토CSI300레버리지(합성),CSI 300 Index,"227","2015/05/27","2015/05/28"
케이비자산운용,"NH투자증권, 미래에셋대우, 삼성증권",KBSTAR 미국S&P원유생산기업(합성 H),S&P Oil & Gas Exploration & Production Select Industry Index(PR),"70","2015/06/01","2015/06/02"
신한비엔피파리바자산,"미래에셋대우, 신한투자",SMART 중국본토 중소형 CSI500(합성 H),CSI 500 지수,"67","2015/06/05","2015/06/08"
미래에셋자산운용,"메리츠, 대신증권, 미래에셋대우, 키움증권, 한국증권",TIGER 차이나CSI300인버스(합성),CSI 300 Index,"427","2015/06/08","2015/06/10"
한화자산운용,"미래에셋대우, 한화투자, KB증권, 메리츠, NH투자증권",ARIRANG 스마트베타 Value,WISE 스마트베타 VALUE INDEX,"73","2015/06/26","2015/06/29"
한화자산운용,"미래에셋대우, 메리츠, NH투자증권",ARIRANG 스마트베타 Momentum,WISE 스마트베타 MOMENTUM INDEX,"41","2015/06/26","2015/06/29"
한화자산운용,"미래에셋대우, KB증권, 메리츠, NH투자증권",ARIRANG 스마트베타 Quality,WISE 스마트베타 QUALITY INDEX,"71","2015/06/26","2015/06/29"
삼성자산운용,"KB증권, 메리츠, 유진증권, 신한투자, 대신증권, 하이증권, 키움증권, NH투자증권",KODEX 200가치저변동,코스피 200 가치저변동성,"487","2015/06/25","2015/06/26"
한국투자신탁운용,"NH투자증권, KB증권, 대신증권",KINDEX 골드선물 레버리지(합성 H),S&P WCI Gold Excess Return Index,"285","2015/07/20","2015/07/28"
미래에셋자산운용,"메리츠, 키움증권, 한국증권, 대신증권, 미래에셋대우",TIGER 미국S&P500레버리지(합성 H),S&P 500,"197","2015/07/27","2015/07/29"
미래에셋자산운용,"미래에셋대우, 메리츠, 키움증권, 한국증권",TIGER 미국S&P500선물인버스(H),S&P 500 Futures Total Return Index,"215","2015/07/27","2015/07/29"
미래에셋자산운용,"메리츠, 한국증권, 대신증권, 미래에셋대우",TIGER 유로스탁스레버리지(합성 H),EURO STOXX 50 Index,"85","2015/07/27","2015/07/29"
미래에셋자산운용,"메리츠, 한국증권, 대신증권, 미래에셋대우",TIGER 이머징마켓MSCI레버리지(합성 H),MSCI EM Index,"78","2015/07/27","2015/07/29"
키움투자자산운용,"신한투자, 미래에셋대우, 메리츠, KB증권, 하이증권, 키움증권",KOSEF 미국달러선물 레버리지(합성),미국달러선물지수,"564","2015/08/05","2015/08/10"
한국투자신탁운용,"신한투자, 미래에셋대우",KINDEX 한류,FnGuide 한류스타 지수,"49","2015/08/11","2015/08/19"
삼성자산운용,"DB금투, NH투자증권, KB증권, 유안타증권, 키움증권, 신한투자, 유진증권, 메리츠, 하이증권, 하나금융투자",KODEX 코스피,코스피,"5,768","2015/08/21","2015/08/24"
